IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      192.168.254.130,,3306,tcp,10.0,High,80,"VendorFix","MariaDB End of Life (EOL) Detection - Windows","The MariaDB version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""MariaDB"" version on the remote host has reached the end of life.

CPE:               cpe:/a:mariadb:mariadb:10.4.32
Installed version: 10.4.32
EOL version:       10.4
EOL date:          2024-06-18
",1.3.6.1.4.1.25623.1.0.108187,"",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,444a4359-99c5-4f5c-aff7-00ede25c75bb,"An EOL version of MariaDB is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the MariaDB version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
MariaDB End of Life (EOL) Detection - Windows
(OID: 1.3.6.1.4.1.25623.1.0.108187)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:mariadb:mariadb:10.4.32
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","",""
192.168.254.130,,443,tcp,9.9,High,80,"VendorFix","jQuery End of Life (EOL) Detection - Windows","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.10.2
Installed version: 1.10.2
Location/URL:      Externally hosted
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: src=""//code.jquery.com/jquery-1.10.2.min.js
- Referenced at:   https://192.168.254.130/dashboard/

Note: The jQuery library is hosted on a different server and the used version has been extracted from the referenced URL.
",1.3.6.1.4.1.25623.1.0.117148,"",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,bee6e0e2-08e6-4e8a-a708-6d571087f882,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Windows
(OID: 1.3.6.1.4.1.25623.1.0.117148)
Version used: 2024-02-28T14:37:42Z
","","","",""
192.168.254.130,,80,tcp,9.9,High,80,"VendorFix","jQuery End of Life (EOL) Detection - Windows","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.10.2
Installed version: 1.10.2
Location/URL:      Externally hosted
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: src=""//code.jquery.com/jquery-1.10.2.min.js
- Referenced at:   http://192.168.254.130/dashboard/

Note: The jQuery library is hosted on a different server and the used version has been extracted from the referenced URL.
",1.3.6.1.4.1.25623.1.0.117148,"",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,7751f51d-3255-4987-be21-7217a9a76734,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Windows
(OID: 1.3.6.1.4.1.25623.1.0.117148)
Version used: 2024-02-28T14:37:42Z
","","","",""
192.168.254.130,,80,tcp,9.8,High,80,"VendorFix","PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Windows","PHP is prone to multiple vulnerabilities.","Installed version: 8.2.12
Fixed version:     8.2.20
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.152368,"CVE-2024-4577,CVE-2024-5458,CVE-2024-5585,CVE-2024-2408",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,116b7879-cf97-48e9-977b-34978cb15a82,"","Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  - CVE-2024-2408: Marvin attack in OpenSSL on Windows builds","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Windo...
(OID: 1.3.6.1.4.1.25623.1.0.152368)
Version used: 2024-08-09T05:05:42Z
","Product: cpe:/a:php:php:8.2.12
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-2707,DFN-CERT-2024-1853,DFN-CERT-2024-1586,DFN-CERT-2024-1574,DFN-CERT-2024-1563,DFN-CERT-2024-1476,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-1324,WID-SEC-2024-1320",""
192.168.254.130,,443,tcp,9.8,High,80,"VendorFix","PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Windows","PHP is prone to multiple vulnerabilities.","Installed version: 8.2.12
Fixed version:     8.2.20
Installation
path / port:       443/tcp

",1.3.6.1.4.1.25623.1.0.152368,"CVE-2024-4577,CVE-2024-5458,CVE-2024-5585,CVE-2024-2408",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,f5537ab7-80aa-4729-b03f-1f334500bcfc,"","Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  - CVE-2024-2408: Marvin attack in OpenSSL on Windows builds","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Windo...
(OID: 1.3.6.1.4.1.25623.1.0.152368)
Version used: 2024-08-09T05:05:42Z
","Product: cpe:/a:php:php:8.2.12
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-2707,DFN-CERT-2024-1853,DFN-CERT-2024-1586,DFN-CERT-2024-1574,DFN-CERT-2024-1563,DFN-CERT-2024-1476,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-1324,WID-SEC-2024-1320",""
192.168.254.130,,443,tcp,9.8,High,80,"VendorFix","Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Windows","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.58
Fixed version:     2.4.60
Installation
path / port:       443/tcp

",1.3.6.1.4.1.25623.1.0.114683,"CVE-2024-36387,CVE-2024-38472,CVE-2024-38473,CVE-2024-38474,CVE-2024-38475,CVE-2024-38476,CVE-2024-38477,CVE-2024-39573",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,c344bc0c-62a2-41c1-a5d7-dd7d75325f5c,"","Update to version 2.4.60 or later.","Apache HTTP Server version 2.4.59 and prior.","The following flaws exist:

  - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2

  - CVE-2024-38472: Windows UNC Server-Side Request Forgery (SSRF)

  - CVE-2024-38473: Proxy encoding problem

  - CVE-2024-38474: Weakness with encoded question marks in backreferences

  - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem
  path

  - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers
  via internal redirect

  - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request

  - CVE-2024-39573: mod_rewrite proxy handler substitution","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Windows
(OID: 1.3.6.1.4.1.25623.1.0.114683)
Version used: 2024-08-22T05:05:50Z
","Product: cpe:/a:apache:http_server:2.4.58
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2024-2841,DFN-CERT-2024-2787,DFN-CERT-2024-2736,DFN-CERT-2024-2534,DFN-CERT-2024-2342,DFN-CERT-2024-2214,DFN-CERT-2024-2201,DFN-CERT-2024-2180,DFN-CERT-2024-2110,DFN-CERT-2024-2017,DFN-CERT-2024-1963,DFN-CERT-2024-1920,DFN-CERT-2024-1919,DFN-CERT-2024-1911,DFN-CERT-2024-1907,DFN-CERT-2024-1893,DFN-CERT-2024-1816,DFN-CERT-2024-1811,DFN-CERT-2024-1784,DFN-CERT-2024-1741,DFN-CERT-2024-1699,WID-SEC-2024-3291,WID-SEC-2024-3199,WID-SEC-2024-1913,WID-SEC-2024-1504",""
192.168.254.130,,80,tcp,9.8,High,80,"VendorFix","Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Windows","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.58
Fixed version:     2.4.60
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114683,"CVE-2024-36387,CVE-2024-38472,CVE-2024-38473,CVE-2024-38474,CVE-2024-38475,CVE-2024-38476,CVE-2024-38477,CVE-2024-39573",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,2a0004ba-87b4-445b-a80a-aa1eeb46763e,"","Update to version 2.4.60 or later.","Apache HTTP Server version 2.4.59 and prior.","The following flaws exist:

  - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2

  - CVE-2024-38472: Windows UNC Server-Side Request Forgery (SSRF)

  - CVE-2024-38473: Proxy encoding problem

  - CVE-2024-38474: Weakness with encoded question marks in backreferences

  - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem
  path

  - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers
  via internal redirect

  - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request

  - CVE-2024-39573: mod_rewrite proxy handler substitution","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Windows
(OID: 1.3.6.1.4.1.25623.1.0.114683)
Version used: 2024-08-22T05:05:50Z
","Product: cpe:/a:apache:http_server:2.4.58
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2024-2841,DFN-CERT-2024-2787,DFN-CERT-2024-2736,DFN-CERT-2024-2534,DFN-CERT-2024-2342,DFN-CERT-2024-2214,DFN-CERT-2024-2201,DFN-CERT-2024-2180,DFN-CERT-2024-2110,DFN-CERT-2024-2017,DFN-CERT-2024-1963,DFN-CERT-2024-1920,DFN-CERT-2024-1919,DFN-CERT-2024-1911,DFN-CERT-2024-1907,DFN-CERT-2024-1893,DFN-CERT-2024-1816,DFN-CERT-2024-1811,DFN-CERT-2024-1784,DFN-CERT-2024-1741,DFN-CERT-2024-1699,WID-SEC-2024-3291,WID-SEC-2024-3199,WID-SEC-2024-1913,WID-SEC-2024-1504",""
192.168.254.130,,443,tcp,9.7,High,80,"VendorFix","PHP < 8.1.28, 8.2.x < 8.2.18, 8.3.x < 8.3.6 Multiple Vulnerabilities - Windows","PHP is prone to multiple vulnerabilities.","Installed version: 8.2.12
Fixed version:     8.2.18
Installation
path / port:       443/tcp

",1.3.6.1.4.1.25623.1.0.152119,"CVE-2024-1874,CVE-2024-3096",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,5f9bf5b8-d739-4975-99df-5cc3c75cfe07,"","Update to version 8.1.28, 8.2.18, 8.3.6 or later.","PHP prior to version 8.1.28, version 8.2.x through 8.2.17 and
  8.3.x through 8.3.5.","The following vulnerabilities exist:

  - CVE-2024-1874: Command injection via array-ish $command parameter of proc_open even if
  bypass_shell option enabled

  - CVE-2024-3096: password_verify can erroneously return true, opening ATO risk","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.28, 8.2.x < 8.2.18, 8.3.x < 8.3.6 Multiple Vulnerabilities - Windo...
(OID: 1.3.6.1.4.1.25623.1.0.152119)
Version used: 2024-04-16T05:05:31Z
","Product: cpe:/a:php:php:8.2.12
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-1574,DFN-CERT-2024-1192,DFN-CERT-2024-1132,DFN-CERT-2024-1115,DFN-CERT-2024-0993,DFN-CERT-2024-0962,WID-SEC-2024-0867",""
192.168.254.130,,80,tcp,9.7,High,80,"VendorFix","PHP < 8.1.28, 8.2.x < 8.2.18, 8.3.x < 8.3.6 Multiple Vulnerabilities - Windows","PHP is prone to multiple vulnerabilities.","Installed version: 8.2.12
Fixed version:     8.2.18
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.152119,"CVE-2024-1874,CVE-2024-3096",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,2e962894-416f-4b69-a84b-8dc782a24917,"","Update to version 8.1.28, 8.2.18, 8.3.6 or later.","PHP prior to version 8.1.28, version 8.2.x through 8.2.17 and
  8.3.x through 8.3.5.","The following vulnerabilities exist:

  - CVE-2024-1874: Command injection via array-ish $command parameter of proc_open even if
  bypass_shell option enabled

  - CVE-2024-3096: password_verify can erroneously return true, opening ATO risk","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.28, 8.2.x < 8.2.18, 8.3.x < 8.3.6 Multiple Vulnerabilities - Windo...
(OID: 1.3.6.1.4.1.25623.1.0.152119)
Version used: 2024-04-16T05:05:31Z
","Product: cpe:/a:php:php:8.2.12
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-1574,DFN-CERT-2024-1192,DFN-CERT-2024-1132,DFN-CERT-2024-1115,DFN-CERT-2024-0993,DFN-CERT-2024-0962,WID-SEC-2024-0867",""
192.168.254.130,,443,tcp,8.8,High,80,"VendorFix","PHP < 8.1.30, 8.2.x < 8.2.24, 8.3.x < 8.3.12 Multiple Vulnerabilities - Windows","PHP is prone to multiple vulnerabilities.","Installed version: 8.2.12
Fixed version:     8.2.24
Installation
path / port:       443/tcp

",1.3.6.1.4.1.25623.1.0.114788,"CVE-2024-8925,CVE-2024-8926,CVE-2024-8927,CVE-2024-8928,CVE-2024-9026",e8ba39ec-c571-4f7f-9f02-c19290930b73,"Unnamed",2026-02-07T15:44:53Z,981087de-f5a0-4eb3-9bcb-bec7f62d20f7,"","Update to version 8.1.30, 8.2.24, 8.3.12 or later.","PHP versions prior to 8.1.30, 8.2.x prior to 8.2.24 and 8.3.x
  prior to 8.3.12.","The following vulnerabilities exist:

  - CVE-2024-8925, CVE-2024-8928: Erroneous parsing of multipart form data

  - CVE-2024-8926: Bypass of CVE-2024-4577, Parameter Injection Vulnerability

  - CVE-2024-8927: cgi.force_redirect configuration is bypassable due to the environment variable
  collision

  - CVE-2024-9026: Logs from children may be altered","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.30, 8.2.x < 8.2.24, 8.3.x < 8.3.12 Multiple Vulnerabilities - Wind...
(OID: 1.3.6.1.4.1.25623.1.0.114788)
Version used: 2024-10-17T08:02:35Z
","Product: cpe:/a:php:php:8.2.12
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-2707,DFN-CERT-2024-2591,DFN-CERT-2024-2550,WID-SEC-2024-3116,WID-SEC-2024-2230",""
